disease,age_min,age_max,age_peak,male_pct
panic disorder,15,65,30,33
vocal cord polyp,20,70,45,75
turner syndrome,0,80,0,0
cryptorchidism,0,1,0,100
atrophic vaginitis,45,90,60,0
cellulitis or abscess of mouth,5,85,40,55
headache after lumbar puncture,18,70,35,30
pyloric stenosis,0,1,0,80
salivary gland disorder,5,85,50,55
osteochondrosis,10,20,14,70
metabolic disorder,0,90,50,50
vaginitis,15,85,30,0
sick sinus syndrome,50,95,75,50
tinnitus of unknown cause,20,90,60,55
glaucoma,40,95,75,50
eating disorder,12,40,18,10
transient ischemic attack,45,95,72,55
pyelonephritis,15,85,30,15
rotator cuff injury,30,85,55,60
chronic pain disorder,18,90,50,40
liver cancer,40,85,65,70
atelectasis,0,95,70,50
choledocholithiasis,20,90,60,40
cirrhosis,30,85,55,65
thoracic aortic aneurysm,50,90,70,65
subdural hemorrhage,0,95,75,60
diabetic retinopathy,25,90,60,55
fibromyalgia,20,75,45,10
ischemia of the bowel,60,95,75,50
fetal alcohol syndrome,0,18,0,52
peritonitis,0,90,50,55
acute pancreatitis,20,85,50,60
thrombophlebitis,25,90,60,40
asthma,0,90,15,55
restless leg syndrome,20,90,60,35
emphysema,45,90,65,60
cysticercosis,5,70,35,50
infectious gastroenteritis,0,95,5,50
acute sinusitis,2,90,35,40
substance-related mental disorder,15,70,25,70
postpartum depression,18,45,28,0
coronary atherosclerosis,35,95,65,65
spondylitis,15,50,30,70
pituitary adenoma,20,70,40,40
uterine fibroids,25,55,40,0
ovarian torsion,15,50,30,0
retinopathy due to high blood pressure,40,90,65,55
vaginal yeast infection,15,60,28,0
mastoiditis,0,15,5,50
hypertrophic obstructive cardiomyopathy (hocm),15,50,30,60
pulmonary eosinophilia,20,70,40,50
corneal disorder,5,95,60,50
endophthalmitis,0,95,65,55
intestinal malabsorption,0,85,40,50
hyperhidrosis,15,50,25,50
stroke,18,95,72,55
pilonidal cyst,15,35,22,80
alopecia,15,70,35,50
hashimoto thyroiditis,20,75,45,10
nonalcoholic liver disease (nash),25,80,50,60
hemarthrosis,0,70,20,95
pelvic organ prolapse,40,90,65,0
intracranial hemorrhage,0,95,70,60
hyperkalemia,20,90,65,55
cornea infection,5,90,55,50
abscess of the lung,30,85,60,65
dengue fever,0,75,25,52
chronic sinusitis,5,85,40,45
cholesteatoma,5,60,30,55
volvulus,0,85,65,55
atrial fibrillation,40,95,75,55
pinworm infection,2,12,7,50
urethral valves,0,5,0,100
achalasia,25,70,45,50
conductive hearing loss,0,90,50,50
abdominal hernia,0,90,55,75
cerebral palsy,0,18,2,55
obesity,5,90,45,45
esophageal cancer,50,85,68,75
pulmonary congestion,40,95,75,55
juvenile rheumatoid arthritis,1,16,10,35
acute otitis media,0,10,2,52
neonatal jaundice,0,0,0,52
chronic obstructive pulmonary disease (copd),45,90,65,55
spondylosis,40,95,65,50
deep vein thrombosis (dvt),25,90,65,45
heart block,40,95,75,55
colonic polyp,45,90,65,55
hypothyroidism,20,85,50,15
diabetes,5,95,55,52
endometriosis,15,50,30,0
chronic kidney disease,30,95,70,55
polycystic kidney disease,20,70,45,50
bipolar disorder,15,60,25,50
amyloidosis,50,85,65,65
gastroesophageal reflux disease (gerd),18,90,50,50
myasthenia gravis,20,80,40,40
hypoglycemia,0,90,50,50
schizophrenia,15,50,22,60
sepsis,0,95,70,55
cholecystitis,25,85,50,35
cardiac arrest,18,95,70,65
cardiomyopathy,15,85,55,60
meningitis,0,75,20,55
multiple sclerosis,20,50,32,25
gastritis,15,90,50,50
skin cancer,30,95,70,55
rheumatoid arthritis,30,75,50,25
tonsillitis,2,25,8,50
stomach cancer,50,85,70,65
heart failure,40,95,75,55
herniated disk,25,60,40,60
pulmonary embolism,25,95,68,48
abdominal aortic aneurysm,50,85,70,75
abscess of nose,5,60,30,55
abscess of the pharynx,2,40,15,55
acanthosis nigricans,10,60,30,45
acariasis,0,80,15,50
actinic keratosis,40,90,65,60
acute bronchiolitis,0,2,1,55
acute bronchitis,1,80,35,45
acute bronchospasm,1,70,25,55
acute fatty liver of pregnancy (aflp),18,45,30,0
acute glaucoma,40,80,60,45
acute kidney injury,18,90,65,55
acute respiratory distress syndrome (ards),18,85,60,60
acute stress reaction,5,80,30,45
adhesive capsulitis of the shoulder,40,70,55,40
adjustment reaction,10,70,30,45
adrenal adenoma,30,80,55,40
adrenal cancer,30,80,55,55
alcohol abuse,15,70,40,70
alcohol withdrawal,20,70,45,70
alcoholic liver disease,30,70,50,70
allergy,0,80,20,45
allergy to animals,0,60,15,45
alzheimer disease,60,95,75,40
amblyopia,0,8,4,50
amyotrophic lateral sclerosis (als),40,80,60,60
anal fissure,15,60,35,45
anal fistula,20,70,40,60
anemia,0,90,40,45
anemia due to chronic kidney disease,30,90,65,55
